"route_id,agency_id,""route_short_name"",""route_long_name"",""route_desc"",route_type,""route_url"",""route_color"",""route_text_color"""
"48546,1,""47"",""Genk - Zonhoven - Halveweg - Houthalen"",""Genk - Houthalen/Houthalen - Genk"",3,"""",""995511"",""FFFFFF"""
"48547,1,""48"",""Hasselt - Peer - Hamont/Neerpelt"",""Hasselt - Hamont/Neerpelt/Neerpelt/Hamont - Hasselt"",3,"""",""229922"",""FFFFFF"""
"48548,1,""51"",""Hasselt - Stokrooie - Zolder - Heusden"",""Hasselt - Heusden/Heusden - Hasselt"",3,"""",""229922"",""FFFFFF"""
"48549,1,""52"",""Hasselt - Boekt - Beringen"",""Hasselt - Boekt - Beringen/Beringen - Boekt - Hasselt"",3,"""",""DD0077"",""FFFFFF"""
"48550,1,""58"",""Beringen - Lommel"",""Beringen - Lommel/Lommel - Beringen"",3,"""",""8899AA"",""000000"""
"48551,1,""61"",""Maaseik - Vroenhoven - Tongeren"",""Maaseik - Tongeren/Tongeren - Maaseik"",3,"""",""991199"",""FFFFFF"""
"48552,1,""62"",""Tongeren - Vroenhoven - Maastricht"",""Maastricht - Tongeren/Tongeren - Maastricht"",3,"""",""BB0022"",""FFFFFF"""
"48553,1,""63"",""Eisden - Maasmechelen - Lanaken - Maastricht"",""Eisden - Maastricht/Maastricht - Eisden"",3,"""",""FF88AA"",""000000"""
"48554,1,""64"",""Dilsen-Maasmechelen-Opgrimbie-Rekem O.P.Z"",""Dilsen-Rekem O.P.Z./Rekem O.P.Z.-Dilsen"",3,"""",""995511"",""FFFFFF"""
"48555,1,""65"",""Stokkem-Meeswijk-Maasmechelen-Boorsem-Uikhoven"",""Stokkem-Uikhoven/Uikhoven-Stokkem"",3,"""",""AACCEE"",""000000"""
"48556,1,""68"",""Bocholt - Houthalen - Antwerpen"",""Bocholt - Antwerpen/Antwerpen - Bocholt"",3,"""",""EE8822"",""FFFFFF"""
"48557,1,""74"",""Tongeren - Liège"",""Tongeren - Liège/Liège - Tongeren"",3,"""",""EE8822"",""FFFFFF"""
"48558,1,""84"",""Hamont - Geel"",""Geel - Hamont/Hamont - Geel"",3,"""",""AACCEE"",""000000"""
"48559,1,""90"",""Donk - Herk-de-Stad - Lummen - Beringen"",""Donk - Beringen/Beringen - Donk"",3,"""",""1199DD"",""FFFFFF"""
"48560,1,""91"",""Hasselt - Lummen - Tessenderlo - Hulst"",""Hasselt - Hulst/Hulst - Hasselt"",3,"""",""991199"",""FFFFFF"""
"48561,1,""92"",""Diest  - Lummen - Heusden"",""Diest - Heusden/Heusden - Diest"",3,"""",""BBDD00"",""000000"""
"48562,1,""H01"",""Hasselt - Kermt - Stevoort - Hasselt Station"",,3,"""",""BB0022"",""FFFFFF"""
"48563,1,""104"",""Hasselt-Tongeren(bediening Schalkhoven/Diepenbeek)"",""Hasselt - Tongeren/Tongeren - Hasselt"",3,"""",""FFCC11"",""000000"""
"48564,1,""105"",""Hasselt - Stevoort - Sint-Truiden"",""Hasselt - Sint-Truiden/Sint-Truiden - Hasselt"",3,"""",""1199DD"",""FFFFFF"""
"48565,1,""H10"",""Hasselt - Stevoort - Kermt - Hasselt Station"",,3,"""",""FF88AA"",""000000"""
"48566,1,""11"",""Maaseik - Genk - Hasselt"",""Hasselt - Maaseik/Maaseik - Hasselt"",3,"""",""005555"",""FFFFFF"""
"48567,1,""H13"",""Hasselt - Kuringen - Kiewit - Hasselt Station"",,3,"""",""BBDD00"",""000000"""
"48568,1,""30"",""Stevoort - Herk-de-Stad (schoolbediening)"",""Stevoort - Herk-de-Stad (schoolbediening)/Herk-de-Stad - Stevoort (schoolbediening)"",3,"""",""77CCAA"",""000000"""
"48569,1,""13b"",""Helchteren - Peer - Bree"",""Helchteren - Bree/Bree - Helchteren"",3,"""",""C5AA77"",""000000"""
"48570,1,""14b"",""Bree - Molenbeersel/Kinrooi"",""Molenbeersel - Bree/Bree - Molenbeersel"",3,"""",""229922"",""FFFFFF"""
"48571,1,""44"",""Genk Station - Opglabbeek (bediening Bewel)"",""Genk- Opglabbeek/Opglabbeek - Genk"",3,"""",""771133"",""FFFFFF"""
"48572,1,""15b"",""Geel - Herentals"",""Geel - Herentals/Herentals - Geel"",3,"""",""0044BB"",""FFFFFF"""
"48573,1,""15c"",""Geel Industriepark - Mol - Leopoldsburg"",""Geel - Leopoldsburg/Leopoldsburg - Geel"",3,"""",""771133"",""FFFFFF"""
